1: EL14_CMN_0001	GMW_CMN_20100929.0076	陕北公学	E0278626	
333: EL14_CMN_0333	bolt-cmn-DF-205-185863-151227	世界博览会	NIL0244	
334: EL14_CMN_0334	XIN_CMN_20000508.0073	怡和	NIL0245	
335: EL14_CMN_0335	XIN_CMN_20040708.0274	特雷西・麦克格雷迪	NIL0246	
336: EL14_CMN_0336	NYT_ENG_20100223.0045	Woods	NIL0247	
337: EL14_CMN_0337	bolt-cmn-DF-216-192653-6967829	新疆	E0034587	
338: EL14_CMN_0338	PDA_CMN_20100120.0293	张菲	NIL0248	
339: EL14_CMN_0339	XIN_CMN_20080207.0124	马萨诸塞	E0505048	
340: EL14_CMN_0340	XIN_CMN_20071128.0304	郊	NIL0249	
341: EL14_CMN_0341	CNA_CMN_20100413.0386	育才	NIL0250	
342: EL14_CMN_0342	AFP_ENG_20091007.0126	Singapore	E0113852	
343: EL14_CMN_0343	XIN_CMN_20100314.0201	大理	NIL0251	
344: EL14_CMN_0344	AFP_CMN_20011124.0020	艾森豪	NIL0252	
345: EL14_CMN_0345	AFP_CMN_20010925.0010	乔丹	E0643253	
346: EL14_CMN_0346	bolt-cmn-DF-205-185859-136061	卡扎菲	NIL0253	
347: EL14_CMN_0347	XIN_CMN_20001102.0026	泰格・伍兹	NIL0254	
348: EL14_CMN_0348	CNS_CMN_20101105.0740	大使馆	NIL0255	
349: EL14_CMN_0349	CNS_CMN_20101202.0253	宽城	NIL0256	
350: EL14_CMN_0350	XIN_CMN_19931209.0066	全国青联	NIL0257	
351: EL14_CMN_0351	AFP_CMN_20050914.0019	城中	NIL0258	
352: EL14_CMN_0352	GMW_CMN_20100414.0548	秀英	NIL0259	
353: EL14_CMN_0353	XIN_CMN_20100604.0159	卢比奥	NIL0260	
354: EL14_CMN_0354	PDA_CMN_20071124.0052	乔治·W·布什	NIL0261	
355: EL14_CMN_0355	XIN_CMN_20060105.0167	李连杰	E0148774	
356: EL14_CMN_0356	XIN_CMN_20030116.0089	儿童医院	NIL0262	
357: EL14_CMN_0357	bolt-cmn-DF-196-185735-15891368	加菲猫	E0585543	
358: EL14_CMN_0358	AFP_ENG_20090605.0659	South Korea	E0315956	
359: EL14_CMN_0359	XIN_CMN_19920502.0005	威廉姆斯	NIL0263	
360: EL14_CMN_0360	XIN_CMN_20031202.0105	伊恩・索普	NIL0264	
361: EL14_CMN_0361	bolt-cmn-DF-182-192251-6394091	林副统帅	NIL0265	
362: EL14_CMN_0362	bolt-eng-DF-201-185520-350582	United Airlines	NIL0266	
363: EL14_CMN_0363	CNS_CMN_20100319.0540	城中	NIL0267	
364: EL14_CMN_0364	XIN_CMN_19980803.0016	大使馆	NIL0268	
365: EL14_CMN_0365	CNS_CMN_20100608.0568	阿基诺三世	NIL0269	
366: EL14_CMN_0366	bolt-cmn-DF-196-185723-2495880	贺小美	NIL0270	
367: EL14_CMN_0367	NYT_ENG_20100821.0106	TALLAHASSEE	NIL0271	
368: EL14_CMN_0368	bolt-cmn-DF-205-185872-1178672	李娜	NIL0272	
369: EL14_CMN_0369	bolt-cmn-DF-20-191614-15410910	交大	E0354952	
370: EL14_CMN_0370	bolt-cmn-DF-182-192250-6409884	New Orleans	NIL0273	
371: EL14_CMN_0371	AFP_CMN_20091031.0030	University of California at Berkeley	NIL0274	
372: EL14_CMN_0372	XIN_CMN_20090820.0178	威廉姆斯	NIL0275	
373: EL14_CMN_0373	bolt-cmn-DF-205-185862-156884	林育蓉	NIL0276	
374: EL14_CMN_0374	APW_ENG_20090708.1108	Robin Williams	E0672714	
375: EL14_CMN_0375	AFP_CMN_20010213.0030	国际商业机器公司	NIL0277	
376: EL14_CMN_0376	AFP_ENG_20090912.0475	California	E0739132	
377: EL14_CMN_0377	CNS_CMN_20090827.1713	金童	NIL0278	
378: EL14_CMN_0378	bolt-cmn-DF-196-185723-2499585	李嘉诚	E0051416	
379: EL14_CMN_0379	XIN_CMN_20100605.0067	大使馆	NIL0279	
380: EL14_CMN_0380	CNS_CMN_20101120.0131	Warren Buffett	NIL0280	
381: EL14_CMN_0381	XIN_CMN_20061112.0009	中山医学院	NIL0281	
382: EL14_CMN_0382	PDA_CMN_20100803.0613	长岗	NIL0282	
383: EL14_CMN_0383	AFP_ENG_20091014.0130	foreign ministry	NIL0283	
384: EL14_CMN_0384	bolt-cmn-DF-20-191614-15405992	张大帅	NIL0284	
385: EL14_CMN_0385	XIN_CMN_19980303.0140	安仁	NIL0285	
386: EL14_CMN_0386	CNS_CMN_20091127.0221	李登辉	E0779250	
387: EL14_CMN_0387	CNS_CMN_20100910.0778	邰智源	NIL0286	
388: EL14_CMN_0388	XIN_CMN_19980731.0025	大使 馆	NIL0287	
389: EL14_CMN_0389	XIN_CMN_20100627.0011	多伦多	E0143563	
390: EL14_CMN_0390	AFP_CMN_20101231.0045	加州大学洛杉矶分校	NIL0288	
391: EL14_CMN_0391	XIN_CMN_20070918.0318	D.C.	NIL0289	
392: EL14_CMN_0392	XIN_CMN_20050117.0140	医科大学	NIL0290	
393: EL14_CMN_0393	bolt-cmn-DF-20-191622-4037250	薄薄	NIL0291	
394: EL14_CMN_0394	bolt-cmn-DF-211-187113-3344320	残联	NIL0292	
395: EL14_CMN_0395	AFP_ENG_20100926.0026	foreign ministry	NIL0293	
396: EL14_CMN_0396	CNS_CMN_20091029.0328	冰冰	NIL0294	
397: EL14_CMN_0397	APW_ENG_20100802.0110	Mao Zedong	NIL0295	
398: EL14_CMN_0398	CNS_CMN_20100223.0508	城中	NIL0296	
399: EL14_CMN_0399	XIN_CMN_20081012.0072	摇滚巨星	NIL0297	
400: EL14_CMN_0400	XIN_CMN_20061212.0058	外交部	NIL0298	
401: EL14_CMN_0401	bolt-cmn-DF-205-185872-1171744	安吉丽娜·茱莉	NIL0299	
402: EL14_CMN_0402	XIN_CMN_19961020.0100	长安	NIL0300	
403: EL14_CMN_0403	PDA_CMN_20081121.0023	洛杉矶	NIL0301	
404: EL14_CMN_0404	XIN_CMN_20071120.0162	外交部	NIL0302	
405: EL14_CMN_0405	XIN_ENG_20100318.0046	Embassy	NIL0303	
406: EL14_CMN_0406	AFP_ENG_20090605.0659	North Korea	NIL0304	
407: EL14_CMN_0407	bolt-eng-DF-170-181103-8895291	oklahoma	NIL0305	
408: EL14_CMN_0408	XIN_CMN_20011004.0120	文安	NIL0306	
409: EL14_CMN_0409	bolt-cmn-DF-20-191611-3858379	小金	NIL0307	
410: EL14_CMN_0410	XIN_CMN_20100521.0023	詹姆斯	E0487298	
411: EL14_CMN_0411	bolt-cmn-DF-196-185667-2994667	马娘娘	NIL0308	
412: EL14_CMN_0412	bolt-cmn-DF-211-187119-4795573	大不列颠国	NIL0309	
413: EL14_CMN_0413	XIN_CMN_20060916.0055	东北人民大学	NIL0310	
414: EL14_CMN_0414	XIN_CMN_19941211.0017	穗	E0205605	
415: EL14_CMN_0415	bolt-cmn-DF-205-185859-143708	中国石油天然气股份有限公司	E0741526	
416: EL14_CMN_0416	bolt-cmn-DF-211-187152-4451405	贝克汉姆	E0172970	
417: EL14_CMN_0417	XIN_CMN_20100605.0090	蒙蒂·威廉姆斯	NIL0311	
418: EL14_CMN_0418	bolt-cmn-DF-205-185867-783972	花旗集团	E0686682	
419: EL14_CMN_0419	APW_ENG_20090531.0544	Kansas	NIL0312	
420: EL14_CMN_0420	AFP_CMN_20091014.0027	史达林	NIL0313	
421: EL14_CMN_0421	bolt-cmn-DF-205-185863-576025	李登辉	E0779250	
422: EL14_CMN_0422	bolt-cmn-DF-182-192231-4901218	微博女王	NIL0314	
423: EL14_CMN_0423	bolt-cmn-DF-182-192231-4916750	小燕子	NIL0315	
424: EL14_CMN_0424	APW_ENG_20101004.0945	Kobe Bryant	E0608291	
425: EL14_CMN_0425	bolt-cmn-DF-20-191622-4035738	金三	NIL0316	
426: EL14_CMN_0426	bolt-eng-DF-170-181103-8893267	AFP	NIL0317	
427: EL14_CMN_0427	AFP_CMN_20070220.0017	雪梨	E0389578	
428: EL14_CMN_0428	PDA_CMN_20080403.0170	阿坝	NIL0318	
429: EL14_CMN_0429	bolt-cmn-DF-196-185692-2808268	小明	NIL0319	
430: EL14_CMN_0430	XIN_CMN_20000514.0094	育才	NIL0320	
431: EL14_CMN_0431	bolt-cmn-DF-205-185863-597112	马英九	E0229614	
432: EL14_CMN_0432	XIN_CMN_20101014.0153	海阳	NIL0321	
433: EL14_CMN_0433	XIN_ENG_20100501.0103	Dover	NIL0322	
434: EL14_CMN_0434	bolt-cmn-DF-21-181169-81886	费玉清	NIL0323	
435: EL14_CMN_0435	bolt-cmn-DF-20-191622-4037250	博熙来	NIL0324	
436: EL14_CMN_0436	PDA_CMN_20100608.0519	电波怒汉	NIL0325	
437: EL14_CMN_0437	bolt-cmn-DF-213-191704-5598764	追风少年	NIL0326	
438: EL14_CMN_0438	XIN_ENG_20100422.0367	embassy	NIL0327	
439: EL14_CMN_0439	XIN_CMN_20070901.0178	莎拉波娃	NIL0328	
440: EL14_CMN_0440	bolt-cmn-DF-211-187123-5144775	宋美龄	E0562750	
441: EL14_CMN_0441	AFP_ENG_20100217.0156	Tiger Woods	NIL0329	
442: EL14_CMN_0442	bolt-cmn-DF-20-191613-15178518	朱德	E0128070	
443: EL14_CMN_0443	CNS_CMN_20100104.0845	阿瞒	NIL0330	
444: EL14_CMN_0444	PDA_CMN_20071009.0075	伟仔	NIL0331	
445: EL14_CMN_0445	XIN_CMN_20040106.0052	外交部	NIL0332	
446: EL14_CMN_0446	CNS_CMN_20100115.0533	昌吉	NIL0333	
447: EL14_CMN_0447	bolt-cmn-DF-196-185692-2815284	中国长城	NIL0334	
448: EL14_CMN_0448	XIN_CMN_20070410.0219	奥尼尔	E0312888	
449: EL14_CMN_0449	bolt-cmn-DF-196-185692-2807400	安吉丽娜-朱莉	NIL0335	
450: EL14_CMN_0450	bolt-cmn-DF-20-191610-2217733	薄总	NIL0336	
451: EL14_CMN_0451	XIN_CMN_20101010.0154	方是民	NIL0337	
452: EL14_CMN_0452	bolt-cmn-DF-211-187119-4741869	麦克尔-杰克逊	NIL0338	
453: EL14_CMN_0453	XIN_CMN_20040211.0152	李宁	NIL0339	
454: EL14_CMN_0454	XIN_ENG_20090904.0107	Lenovo	NIL0340	
455: EL14_CMN_0455	XIN_CMN_20081217.0250	喀什	NIL0341	
456: EL14_CMN_0456	XIN_CMN_20060620.0228	大使馆	NIL0342	
457: EL14_CMN_0457	bolt-cmn-DF-211-187115-4409129	刘福荣	NIL0343	
458: EL14_CMN_0458	bolt-cmn-DF-205-185863-587125	路透社	E0345645	
459: EL14_CMN_0459	PDA_CMN_20070904.0207	本・拉登	NIL0344	
460: EL14_CMN_0460	bolt-cmn-DF-205-185863-586574	阿灰	NIL0345	
461: EL14_CMN_0461	CNS_CMN_20091209.0670	威廉姆斯	NIL0346	
462: EL14_CMN_0462	bolt-cmn-DF-182-192249-6416128	朱容基	NIL0347	
463: EL14_CMN_0463	XIN_CMN_20070720.0301	费舍尔	NIL0348	
464: EL14_CMN_0464	bolt-cmn-DF-211-187111-4500385	飞人	NIL0349	
465: EL14_CMN_0465	PDA_CMN_20101011.0331	花妈	NIL0350	
466: EL14_CMN_0466	XIN_CMN_19920404.0160	医科大学	NIL0351	
467: EL14_CMN_0467	CNS_CMN_20100514.0859	University of Toronto	NIL0352	
468: EL14_CMN_0468	NYT_ENG_20100422.0077	J.Lo	NIL0353	
469: EL14_CMN_0469	XIN_CMN_20021130.0099	秀英	NIL0354	
470: EL14_CMN_0470	bolt-cmn-DF-196-185661-14825830	李娜	NIL0355	
471: EL14_CMN_0471	XIN_CMN_20100228.0031	克罗格食品公司	NIL0356	
472: EL14_CMN_0472	XIN_CMN_19940510.0183	大使馆	NIL0357	
473: EL14_CMN_0473	bolt-eng-DF-170-181119-8745315	red cross	NIL0358	
474: EL14_CMN_0474	PDA_CMN_20070814.0115	白银	NIL0359	
475: EL14_CMN_0475	bolt-cmn-DF-216-192653-6948475	星洲	NIL0360	
476: EL14_CMN_0476	XIN_CMN_20040814.0026	邓小平	E0538070	
477: EL14_CMN_0477	AFP_CMN_20091031.0030	Swiss Federal Institute of Technology in Zurich	NIL0361	
478: EL14_CMN_0478	PDA_CMN_20100608.0393	吉林	E0185864	
479: EL14_CMN_0479	XIN_ENG_20101223.0280	Sun Yat-sen University	NIL0362	
480: EL14_CMN_0480	CNS_CMN_20100901.0015	孙大炮	NIL0363	
481: EL14_CMN_0481	XIN_CMN_20000219.0113	威廉姆斯	NIL0364	
482: EL14_CMN_0482	CNA_CMN_20100216.0087	安平	E0776464	
483: EL14_CMN_0483	CNS_CMN_20091204.0286	林总	NIL0365	
484: EL14_CMN_0484	CNS_CMN_20100917.0727	复旦	NIL0366	
485: EL14_CMN_0485	PDA_CMN_20080407.0002	大使馆	NIL0367	
486: EL14_CMN_0486	CNS_CMN_20100203.0376	秀英	NIL0368	
487: EL14_CMN_0487	CNS_CMN_20101122.1098	儿童医院	NIL0369	
488: EL14_CMN_0488	PDA_CMN_20100126.0366	达芬奇	E0640221	
489: EL14_CMN_0489	LTW_ENG_20090703.0038	Kansas	NIL0370	
490: EL14_CMN_0490	bolt-eng-DF-170-181122-8788586	Expo	E0338490	
491: EL14_CMN_0491	XIN_CMN_19971212.0087	汉卿	NIL0371	
492: EL14_CMN_0492	GMW_CMN_20101015.0022	克拉玛依	NIL0372	
493: EL14_CMN_0493	PLA_CMN_20100728.0001	广南	NIL0373	
494: EL14_CMN_0494	XIN_CMN_19940823.0079	中国人民大学	E0278626	
495: EL14_CMN_0495	AFP_CMN_20080518.0026	夏拉波娃	NIL0374	
496: EL14_CMN_0496	PDA_CMN_20100323.0459	外交部	NIL0375	
497: EL14_CMN_0497	bolt-cmn-DF-205-185863-593405	少帅	NIL0376	
498: EL14_CMN_0498	APW_ENG_20100128.0873	Eli Lilly and Co	NIL0377	
499: EL14_CMN_0499	bolt-cmn-DF-205-185863-148889	李老狗	NIL0378	
500: EL14_CMN_0500	PDA_CMN_20080304.0116	外交部	NIL0379	
501: EL14_CMN_0501	bolt-cmn-DF-205-185872-1191703	空姐	NIL0380	
502: EL14_CMN_0502	CNS_CMN_20091130.0750	联想	NIL0381	
503: EL14_CMN_0503	CNS_CMN_20100920.1022	诗圣	NIL0382	
504: EL14_CMN_0504	PDA_CMN_20070816.0164	麦当娜・路易萨・维兰妮卡・西 科尼	NIL0383	
505: EL14_CMN_0505	bolt-cmn-DF-196-185667-2997050	日本	E0277375	
506: EL14_CMN_0506	PDA_CMN_20070206.0092	总工会	NIL0384	
507: EL14_CMN_0507	CNA_CMN_20100531.0263	外交部	NIL0385	
508: EL14_CMN_0508	PDA_CMN_20100202.0432	陈志朋	NIL0386	
509: EL14_CMN_0509	CNS_CMN_20091123.0765	总工会	NIL0387	
510: EL14_CMN_0510	bolt-cmn-DF-205-185863-149193	女神卡卡	NIL0388	
511: EL14_CMN_0511	AFP_ENG_20091111.0058	Hewlett Packard	E0669850	
512: EL14_CMN_0512	bolt-cmn-DF-205-185872-1171744	GWEN STEFANI	NIL0389	
513: EL14_CMN_0513	XIN_CMN_19930720.0212	协和	NIL0390	
514: EL14_CMN_0514	XIN_CMN_20091211.0163	米卢	NIL0391	
515: EL14_CMN_0515	XIN_CMN_19940528.0211	柬	NIL0392	
516: EL14_CMN_0516	XIN_ENG_20090801.0064	Embassy	NIL0393	
517: EL14_CMN_0517	XIN_CMN_19980412.0018	交通大学	E0469045	
518: EL14_CMN_0518	XIN_CMN_20061112.0009	博济医学堂	NIL0394	
519: EL14_CMN_0519	bolt-cmn-DF-21-181075-3296	波老	NIL0395	
520: EL14_CMN_0520	bolt-cmn-DF-20-191611-3874113	北大西洋公约组织	E0346619	
521: EL14_CMN_0521	CNS_CMN_20100917.0727	复旦	NIL0396	
522: EL14_CMN_0522	XIN_CMN_19941026.0106	黄兴	NIL0397	
523: EL14_CMN_0523	XIN_CMN_19940508.0120	本溪	NIL0398	
524: EL14_CMN_0524	bolt-cmn-DF-205-185867-785145	中石油	E0214355	
525: EL14_CMN_0525	PDA_CMN_20080604.0219	范跑跑	NIL0399	
526: EL14_CMN_0526	PDA_CMN_20100320.0097	美国之音	NIL0400	
527: EL14_CMN_0527	bolt-cmn-DF-205-185863-589833	宋子文	NIL0401	
528: EL14_CMN_0528	XIN_ENG_20100309.0096	Foreign Ministry	NIL0402	
529: EL14_CMN_0529	bolt-cmn-DF-211-187115-4412372	袁项城	NIL0403	
530: EL14_CMN_0530	CNA_CMN_20101105.0350	北越	NIL0404	
531: EL14_CMN_0531	XIN_CMN_20070524.0128	总工会	NIL0405	
532: EL14_CMN_0532	PDA_CMN_20091118.0069	台	E0166967	
533: EL14_CMN_0533	PDA_CMN_20080125.0245	俞书记	NIL0406	
534: EL14_CMN_0534	bolt-cmn-DF-216-192652-6971082	堪萨斯	NIL0407	
535: EL14_CMN_0535	CNS_CMN_20101021.0233	儿童医院	NIL0408	
536: EL14_CMN_0536	bolt-cmn-DF-20-191612-3819571	美联航	NIL0409	
537: EL14_CMN_0537	bolt-cmn-DF-211-187144-4885012	美龄	NIL0410	
538: EL14_CMN_0538	APW_ENG_20090831.1097	Williams	NIL0411	
539: EL14_CMN_0539	bolt-cmn-DF-196-185723-2496500	便士	NIL0412	
540: EL14_CMN_0540	bolt-cmn-DF-211-187115-4413101	宋庆龄	E0487361	
541: EL14_CMN_0541	bolt-eng-DF-212-191666-3019671	APEC	E0476465	
542: EL14_CMN_0542	APW_ENG_20090603.0098	LeBron James	NIL0413	
543: EL14_CMN_0543	bolt-cmn-DF-182-192255-6449085	周恩来	E0772844	
544: EL14_CMN_0544	bolt-cmn-DF-20-191610-2218848	政协	E0115653	
545: EL14_CMN_0545	CNS_CMN_20100329.0876	儿童医院	NIL0414	
546: EL14_CMN_0546	XIN_ENG_20101003.0256	Renmin University of China	NIL0415	
547: EL14_CMN_0547	XIN_CMN_20060104.0044	加利福尼亚	E0739132	
548: EL14_CMN_0548	CNS_CMN_20100404.0273	大同	NIL0416	
549: EL14_CMN_0549	bolt-cmn-DF-196-185692-2811385	陈老师	NIL0417	
550: EL14_CMN_0550	AFP_ENG_20090601.0501	General Motors	E0787371	
551: EL14_CMN_0551	XIN_CMN_19910302.0077	蒙彼利埃	NIL0418	
552: EL14_CMN_0552	AFP_ENG_20090910.0372	GM	E0787371	
553: EL14_CMN_0553	LTW_ENG_20090630.0088	Washington, D.C.	NIL0419	
554: EL14_CMN_0554	bolt-cmn-DF-182-192231-4901124	lady gaga	NIL0420	
555: EL14_CMN_0555	bolt-eng-DF-212-191667-3079726	Henan	NIL0421	
556: EL14_CMN_0556	bolt-cmn-DF-182-192250-6403504	美容大王	NIL0422	
557: EL14_CMN_0557	CNS_CMN_20100104.0529	妇幼保健院	NIL0423	
558: EL14_CMN_0558	APW_ENG_20100904.0427	Ryde	NIL0424	
559: EL14_CMN_0559	NYT_ENG_20091214.0042	Dover	NIL0425	
560: EL14_CMN_0560	AFP_CMN_20070924.0014	梅克尔	NIL0426	
561: EL14_CMN_0561	XIN_CMN_19991227.0104	残联	NIL0427	
562: EL14_CMN_0562	bolt-eng-DF-199-192783-6878822	Saddam Hussein	NIL0428	
563: EL14_CMN_0563	CNS_CMN_20100325.0803	载湉	E0494554	
564: EL14_CMN_0564	PDA_CMN_20100910.0093	医科大学	NIL0429	
565: EL14_CMN_0565	CNA_ENG_20101201.0017	Chiang Ching-kuo	NIL0430	
566: EL14_CMN_0566	PDA_CMN_20080729.0039	小马哥	NIL0431	
567: EL14_CMN_0567	bolt-cmn-DF-208-189141-16650690	哥哥	E0664546	
568: EL14_CMN_0568	bolt-cmn-DF-205-185863-587125	德新社	NIL0432	
569: EL14_CMN_0569	CNS_CMN_20100225.1093	怀德	E0691421	
570: EL14_CMN_0570	XIN_CMN_20100713.0162	德里克·菲舍尔	NIL0433	
571: EL14_CMN_0571	LTW_ENG_20090623.0068	Kroger	NIL0434	
572: EL14_CMN_0572	XIN_ENG_20100817.0231	Foreign Ministry	NIL0435	
573: EL14_CMN_0573	XIN_ENG_20090710.0256	International Business Machines Corp.	NIL0436	
574: EL14_CMN_0574	CNS_CMN_20091104.0560	华师大	NIL0437	
575: EL14_CMN_0575	XIN_CMN_20070407.0160	新乐	NIL0438	
576: EL14_CMN_0576	XIN_CMN_19930809.0062	文联	NIL0439	
577: EL14_CMN_0577	bolt-cmn-DF-205-185863-572933	小马	NIL0440	
578: EL14_CMN_0578	bolt-cmn-DF-196-185692-2807185	詹妮弗-洛佩慈	NIL0441	
579: EL14_CMN_0579	PDA_CMN_20080812.0019	伊朗	E0656561	
580: EL14_CMN_0580	XIN_CMN_20060418.0047	美利坚合众国	E0679687	
581: EL14_CMN_0581	XIN_CMN_19970415.0050	汉卿	NIL0442	
582: EL14_CMN_0582	XIN_CMN_19990329.0167	大威廉姆斯	E0031549	
583: EL14_CMN_0583	PDA_CMN_20070409.0105	青年联合会	NIL0443	
584: EL14_CMN_0584	CNA_ENG_20101029.0048	Barbie Hsu	NIL0444	
585: EL14_CMN_0585	CNS_CMN_20101111.0769	汉卿	NIL0445	
586: EL14_CMN_0586	bolt-cmn-DF-21-181075-5732	乔帮主	NIL0446	
587: EL14_CMN_0587	PDA_CMN_20061206.0186	残联	NIL0447	
588: EL14_CMN_0588	XIN_CMN_19950829.0006	安仁	NIL0448	
589: EL14_CMN_0589	XIN_CMN_19930217.0208	乔治・布什	NIL0449	
590: EL14_CMN_0590	CNS_CMN_20100301.0001	朱老总	NIL0450	
591: EL14_CMN_0591	AFP_CMN_20101231.0045	Stanford	NIL0451	
592: EL14_CMN_0592	CNS_CMN_20090924.0103	蒋总统	NIL0452	
593: EL14_CMN_0593	CNS_CMN_20091028.1147	城中	NIL0453	
594: EL14_CMN_0594	XIN_CMN_20020202.0025	梁启超	E0009086	
595: EL14_CMN_0595	bolt-cmn-DF-20-191611-3877758	马英九	E0229614	
596: EL14_CMN_0596	APW_ENG_20100509.0075	Williams	NIL0454	
597: EL14_CMN_0597	PDA_CMN_20080112.0090	摩根大通	E0491159	
598: EL14_CMN_0598	eng-NG-31-107925-8922636	shenzhen	NIL0455	
599: EL14_CMN_0599	PDA_CMN_20070426.0254	爆料天王	NIL0456	
600: EL14_CMN_0600	bolt-cmn-DF-196-185692-2814236	仔仔	NIL0457	
601: EL14_CMN_0601	AFP_CMN_20100111.0011	Orlando	NIL0458	
602: EL14_CMN_0602	bolt-cmn-DF-205-185862-176940	冀	E0550403	
603: EL14_CMN_0603	bolt-cmn-DF-205-185863-573433	世界贸易组织	E0081133	
604: EL14_CMN_0604	bolt-cmn-DF-20-191613-3837869	王胡子	NIL0459	
605: EL14_CMN_0605	bolt-cmn-DF-20-191613-3835845	委座	NIL0460	
606: EL14_CMN_0606	CNS_CMN_20091027.1105	外交部	NIL0461	
607: EL14_CMN_0607	GMW_CMN_20100405.0167	威廉姆斯	NIL0462	
608: EL14_CMN_0608	bolt-cmn-DF-196-185692-2809902	哥哥	E0664546	
609: EL14_CMN_0609	bolt-cmn-DF-211-187115-4416349	郭德纲	E0284193	
610: EL14_CMN_0610	PDA_CMN_20100718.0376	阿拉斯加	NIL0463	
611: EL14_CMN_0611	bolt-cmn-DF-205-185872-1171996	迈克·杰克逊	NIL0464	
612: EL14_CMN_0612	XIN_CMN_19940515.0034	莱州	NIL0465	
613: EL14_CMN_0613	CNA_ENG_20101201.0039	Soong Tse-ven	NIL0466	
614: EL14_CMN_0614	bolt-cmn-DF-21-181074-2172	Brooklyn	NIL0467	
615: EL14_CMN_0615	APW_ENG_20100910.0518	San Francisco	NIL0468	
616: EL14_CMN_0616	bolt-cmn-DF-196-185692-2816558	国际章	NIL0469	
617: EL14_CMN_0617	PDA_CMN_20070413.0134	总工会	NIL0470	
618: EL14_CMN_0618	bolt-cmn-DF-196-185692-2816742	李承鹏	NIL0471	
619: EL14_CMN_0619	CNS_CMN_20100204.0129	妇幼保健院	NIL0472	
620: EL14_CMN_0620	bolt-cmn-DF-196-185723-2495120	尼可	NIL0473	
621: EL14_CMN_0621	bolt-cmn-DF-182-192255-6448541	朱总理	NIL0474	
622: EL14_CMN_0622	bolt-cmn-DF-182-192231-4920780	迈克尔·杰克逊	E0126705	
623: EL14_CMN_0623	XIN_CMN_20100617.0197	郑大世	NIL0475	
624: EL14_CMN_0624	bolt-cmn-DF-182-192251-6399177	温家宝	E0542973	
625: EL14_CMN_0625	PDA_CMN_20100530.0063	孙夫人	NIL0476	
626: EL14_CMN_0626	GMW_CMN_20100525.1027	妇幼保健院	NIL0477	
627: EL14_CMN_0627	CNS_CMN_20100514.0859	University of Western Ontario	NIL0478	
628: EL14_CMN_0628	bolt-cmn-DF-20-191613-3834031	蒋总裁	NIL0479	
629: EL14_CMN_0629	bolt-cmn-DF-216-192654-6870478	西安交通大学	E0360484	
630: EL14_CMN_0630	GMW_CMN_20100428.0208	中国美术家协会	NIL0480	
631: EL14_CMN_0631	bolt-cmn-DF-211-187145-5014792	世纪运动员	NIL0481	
632: EL14_CMN_0632	XIN_CMN_19910122.0115	花城	NIL0482	
633: EL14_CMN_0633	GMW_CMN_20090824.0374	妇幼保健院	NIL0483	
634: EL14_CMN_0634	bolt-cmn-DF-205-185858-1355996	习主席	NIL0484	
635: EL14_CMN_0635	CNA_CMN_20100207.0224	秀英	NIL0485	
636: EL14_CMN_0636	CNS_CMN_20101120.0131	沃伦巴菲特	NIL0486	
637: EL14_CMN_0637	AFP_CMN_20080809.0015	体操王子	NIL0487	
638: EL14_CMN_0638	CNA_CMN_20101115.0314	章子怡	E0128449	
639: EL14_CMN_0639	CNS_CMN_20100203.0459	曾国藩	E0433041	
640: EL14_CMN_0640	PDA_CMN_20100203.0250	吴奇隆	E0587840	
641: EL14_CMN_0641	XIN_CMN_19930809.0028	汉卿	NIL0488	
642: EL14_CMN_0642	APW_ENG_20100524.1164	Des Moines	NIL0489	
643: EL14_CMN_0643	bolt-cmn-DF-216-192653-20752106	世博会	NIL0490	
644: EL14_CMN_0644	bolt-cmn-DF-182-192231-4923491	吼住姐	NIL0491	
645: EL14_CMN_0645	CNS_CMN_20101122.1043	蒙特利公园	NIL0492	
646: EL14_CMN_0646	bolt-cmn-DF-196-185692-2807174	六小龄童	NIL0493	
647: EL14_CMN_0647	XIN_CMN_19920508.0014	何汉卿	NIL0494	
648: EL14_CMN_0648	CNS_CMN_20101026.0058	威廉姆斯	NIL0495	
649: EL14_CMN_0649	bolt-cmn-DF-21-181074-2172	印第安纳	NIL0496	
650: EL14_CMN_0650	bolt-cmn-DF-182-192231-4911579	老虎伍兹	NIL0497	
651: EL14_CMN_0651	bolt-cmn-DF-205-185863-149193	蕾蒂嘎嘎	NIL0498	
652: EL14_CMN_0652	APW_ENG_20101119.0791	Williams	NIL0499	
653: EL14_CMN_0653	XIN_CMN_20080115.0078	大使馆	NIL0500	
654: EL14_CMN_0654	CNS_CMN_20090826.0982	荆州	NIL0501	
655: EL14_CMN_0655	bolt-cmn-DF-205-185862-192505	新罕布什尔	NIL0502	
656: EL14_CMN_0656	AFP_CMN_20101202.0021	希拉蕊.柯林顿	NIL0503	
657: EL14_CMN_0657	XIN_CMN_20040320.0132	蒙彼利埃	NIL0504	
658: EL14_CMN_0658	APW_ENG_20101128.0339	John McCain	NIL0505	
659: EL14_CMN_0659	bolt-cmn-DF-205-185872-1180700	汤哥	NIL0506	
660: EL14_CMN_0660	XIN_CMN_19931209.0066	中华全国青年联合会	NIL0507	
661: EL14_CMN_0661	XIN_CMN_19950914.0150	梅州	NIL0508	
662: EL14_CMN_0662	XIN_ENG_20100422.0367	embassy	NIL0509	
663: EL14_CMN_0663	XIN_CMN_19960102.0099	医科大学	NIL0510	
